무르밀로 헬멧	Murmillo Helmet
하드 레더 아머	Hard Leather Armor
체인 메일	Chain Mail
마크 튜닉	Mark Tunic
포레스트 레더 아머	Forest Leather Armor
그리마 로브	Grima Robe
베리스 튜닉	Veris Tunic
스케일 메일	Scale Mail
포레스트 로브	Forest Robe
클라이다 메일	Klaida Mail
하드 베리스 튜닉	Hard Veris Tunic
슈페리어 스케일 메일	Superior Scale Mail
리갈 로브	Rigal Robe
래그 아머	Rag Armor
마이너 아머	Minor Armor
오래된 하드 레더 아머	Old Hard Leather Armor
오래된 체인 메일	Old Chain Mail
오래된 스틸 체인 메일	Old Steel Chain Mail
브리간딘 아머	Brigandine Armor
플레이트 아머	Plate Armor
슈페리어 퀼트 아머	Superior Quilt Armor
부베 아머	Vubbe Amor
판토 아머	Panto Armor
어콜라이트 로브	Acolytes Robe
스틸 체인 메일	Steel Chain Mail
강화 레더 아머	Enhanced Leather Armor
던켈 퀼트 아머	Dunkel Quilt Armor
던켈 코튼 로브	Dunkel Cotton Robe
던켈 하드 레더 아머	Dunkel Hard Leather Armor
던켈 링 메일	Dunkel Ring Mail
던켈 코튼 로브	Dunkel Cotton Robe
링 메일	Ring Mail
슈페리어 리갈 로브	Superior Regal Robe
슈페리어 브리간딘 아머	Superior Brigandine Armor
풀 플레이트 아머	Full Plate Armor
페디미안 로브	Fedimian Robe
페디미안 레더 아머	Fedimian Leather Armor
페디미안 아머	Fedimian Armor
메지션 로브	Magician Robe
헌팅 아머	Hunting Armor
가드 아머	Guard Armor
메이지 로브	Mage Robe
스커미셔 튜닉	Skirmisher Tunic
인펀트리 아머	Infantry Armor
아크 메이지 로브	Ark Mage Robe
슈페리어 스커미셔 튜닉	Superior Skirmisher Tunic
슈페리어 인펀트리 아머	Superior Infantry Armor
라이브러리안 로브	Librarian Robe
베테랑 튜닉	Veteran Tunic
나이트 아머	Knight Armor
크림슨 레더 아머	Crymson Leather Armor
포쿠부 아머	Pokubu Armor
테넷 체인 메일	Tenet Chain Mail
잘리아 레더 아머	Zalia Leather Armor
프로바 로브	Proba Robe
스터디드 아머	Studded Armor
인섹트 메일	Insect Mail
레드 베리스 튜닉	Red Veris Tunic
라이트 플레이트 아머	Light Plate Armor
슈페리어 그리마 로브	Superior Grima Robe
포쿠본 레더 아머	Pokubu Leather Armor
드레이크 레더 튜닉	Drake Leather Tunic
실버 플레이트 아머	Silver Plate Armor
추종자의 레더 아머	Leather Armor Of Follower
머미가스트 메일	Mummyghast Mail
카프리선 아머	Cafrisun Armor
디오 로브	Dio Robe
디오 레더 아머	Dio Leather Armor
디오 체인 메일	Dio Chain Mail
트레시 로브	Thresh Robe
트레시 레더 아머	Thresh Leather Armor
트레시 체인 메일	Thresh Chain Mail
세스타스 로브	Sestas Robe
세스타스 레더 아머	Sestas Leather Armor
세스타스 체인 메일	Sestas Chain Mail
드라트 로브	Drat Robe
드라트 레더 아머	Drat Leather Armor
드라트 플레이트 아머	Drat Plate Armor
아스턴 로브	Aston Robe
아스턴 레더 아머	Aston Leather Armor
아스턴 플레이트 아머	Aston Plate Armor
데비 로브	Debby Robe
데비 레더 아머	Debby Leather Armor
데비 플레이트 아머	Debby Plate Armor
프리마 로브	Prima Robe
프리마 레더 아머	Prima Leather Armor
프리마 플레이트 아머	Prima Plate Armor
포 마인 아머	For Mine Armor
리에나 로브	Riena Robe
리에나 레더 아머	Riena Leather Armor
리에나 플레이트 아머	Riena Plate Armor
바인 로브	Vine Robe
세인트 로브	Saint Robe
소울 체이서 아머	Soul Chaser Armor
본 아머	Bone Armor
쉐이드 댄서	Shade Dancer
로카스 레더 아머	Rokas Leather Armor
로카스 메일	Rokas Mail
로카스 로브	Rokas Robe
자카리엘 하트	Zachariel'S Heart
밴시 베일	Banshee Veil
HP 목걸이	HP Necklace
SP 목걸이	SP Necklace
STA 목걸이	STA Necklace
판토 목걸이	판토 Necklace
이상한 부적	이상한 부적
방어력 목걸이	Defense Necklace
노비스 네클리스	Novice Necklace
부베 탈리스만	Vubbe Talisman
츄파카브라 네클리스	Chupacabra Necklace
우든 네클리스	Wooden Necklace
아이언 네클리스	Iron Necklace
스틸 네클리스	Steel Necklace
클라페다 체인	Klaipeda Chain
마이트 페디미안 체인	Might Fedimian Chain
덱스 페디미안 체인	Dex Fedimian Chain
인텔 페디미안 체인	Intel Fedimian Chain
마인드 페디미안 체인	Mind Fedimian Chain
유코푸스 네클리스	Jukopus Necklace
아이언 네클리스	Iron Necklace
스틸 네클리스	Steel Necklace
매직 팬던트	Magic Pendant
클라페다 체인	Klaipeda Chain
아이보리 팬던트	Ivory Pendant
룬 팬던트	Rune Pendant
실버 탈리스만	Silver Talisman
스트링 네클리스	String Necklace
판토 탈리스만	Panto Talisman
파이라이트 팬던트	Pyrite Pendant
크리오라이트 팬던트	Cryorite Pendant
매직 탈리스만	Magic Talisman
스트랭스 팬던트	Strength Pendant
파이루마 체인	Pyruma Chain
아이스마 체인	Icema Chain
포이즈마 체인	Poisonma Chain
라이트나 체인	Lightna Chain
헬스 스톤	Health Stone
워리어 팬던트	Warrior Pendant
사이클롭스 아이	Cyclops Eye
본 네클리스	Bone Necklace
카너버 네클리스	Carnivore Necklace
포 마인 네클리스	For Mine Necklace
퀀커러	Conqueror
페타미온	Petamion
일렉투스	Illektus
사피에 네클리스	Saphie Necklace
가디언	Guadian
막스 페타미온	Max Petamion
애니무스	Animus
홈 파인 뱅글	Fluted Bangle
레더 뱅글	Leather Bangle
라이트 뱅글	Light Bangle
슈페리어 뱅글	Superior Bangle
링 브레이슬릿	Ring Bracelet
노블 브레이슬릿	Noble Bracelet
아이언 뱅글	Iron Bangle
어큐러시 슈페리어 뱅글	Accuracy Superior Bangle
라이트 슈페리어 뱅글	Light Superior Bangle
라이트 아이언 뱅글	Light Iron Bangle
클라페다 브레이슬릿	Klaipeda Bracelet
우든 뱅글	Wooden Bangle
슈페리어 뱅글	Superior Bangle
링 브레이슬릿	Ring Bracelet
노블 브레이슬릿	Noble Bracelet
포레스트 뱅글	Forest Bangle
로카스 브레이슬릿	Rokas Bracelet
클라페다 브레이슬릿	Klaipeda Bracelet
룬 브레이슬릿	Rune Bracelet
실버 브레이슬릿	Silver Bracelet
크리스탈 뱅글	Crystal Bangle
샤인 브레이슬릿	Shine Bracelet
배틀 브레이슬릿	Battle Bracelet
포이즌 뱅글	Poison Bangle
플랜츠 브레이슬릿	Plants Bracelet
컨트롤 뱅글	Conrol Bangle
헌터 뱅글	Hunter Bangle
브레이서 오브 아처	Bracer Of Archer
위저드 브레이슬릿	Wizard Bracelet
래피드 뱅글	Rapid Bangle
글래스 브레이슬릿	Glass Bracelet
머레지나 뱅글	Merregina Bangle
베아카라스 브레이슬릿	Bearkaras Bracelet
노비스 뱅글	Novice Bangle
글래디에이터 밴드	Gladiator Band
브레이슬릿 오브 린네	Bracelet Of Linne
포라	Pora
포레	Pore
자카리엘 뱅글	Zachariel Bangle
시셀 브레이슬릿	Cicel Bracelet
